2#和3#反应器运行数据（输入数据相同）,,,,,,,,,,2#反应器,,,,,,,,,,,,,3#反应器,,,,,,,,,,,,,
时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,,,时间,系统输入（进水指标）,,,,,,,,,系统输出（出水指标）,,,,影响因素,,,
,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,,,,进水主参数,,,,,影响因素（进水的其他指标）,,,,主参数,,,,反应器内,,当地气温,
26/04/2015,15.25 ,19200,2303,6.62 ,0.0689 ,6.95 ,38 ,308,1068,,897,61.05 ,6,7.43,37,28,17,,26/04/2015,15.25 ,19200,2303,6.62 ,0.0689 ,6.95,38,308,1068,,722,68.65 ,6 ,7.69,37,28,17
27/04/2015,15.17 ,19200,2292,6.62 ,0.0642 ,6.97 ,38 ,330,1098,,888,61.26 ,6,7.51,38,25,14,,27/04/2015,15.17 ,19200,2292,6.62 ,0.0642 ,6.97,38,330,1098,,767,66.54 ,6 ,7.62,38,25,14
28/04/2015,13.46 ,19440,2008,6.70 ,0.0717 ,6.96 ,38 ,399,1008,,881,56.13 ,0,7.49,37,24,13,,28/04/2015,13.29 ,19200,2008,6.62 ,0.0708 ,6.96,38,399,1008,,692,65.54 ,0 ,7.6,37,24,13
30/04/2015,16.16 ,19680,2382,6.79 ,0.0706 ,7.02 ,39 ,172,1056,,814,65.83 ,0,7.35,37,30,13,,30/04/2015,15.18 ,18480,2382,6.37 ,0.0663 ,7.02,39,172,1056,,866,63.64 ,6 ,7.6,37,30,13
01/05/2015,16.21 ,19440,2418,6.70 ,0.0697 ,6.85 ,38 ,468,1140,,974,59.72 ,18,7.43,38,22,15,,01/05/2015,15.61 ,18720,2418,6.46 ,0.0671 ,6.85,38,468,1140,,774,67.99 ,24 ,7.46,36,22,15
02/05/2015,17.73 ,19680,2613,6.79 ,0.0570 ,6.77 ,38 ,398,1236,,978,62.57 ,24,7.62,38,26,11,,02/05/2015,16.65 ,18480,2613,6.37 ,0.0535 ,6.77,38,398,1236,,774,70.38 ,0 ,7.48,37,26,11
03/05/2015,17.30 ,19680,2550,6.79 ,0.0529 ,6.69 ,38 ,500,1272,,974,61.80 ,18,7.3,38,23,11,,03/05/2015,16.46 ,18720,2550,6.46 ,0.0504 ,6.69,38,500,1272,,814,68.08 ,24 ,7.64,35,23,11
04/05/2015,16.81 ,18240,2673,6.29 ,0.0403 ,6.63 ,38 ,120,1194,,1045,60.91 ,0,7.45,38,30,12,,04/05/2015,19.02 ,20640,2673,7.12 ,0.0456 ,6.63,38,120,1194,,854,68.05 ,0 ,7.45,36,30,12
05/05/2015,15.08 ,17760,2462,6.12 ,0.0514 ,6.63 ,38 ,420,1002,,814,66.94 ,0,7.24,38,22,16,,05/05/2015,17.52 ,20640,2462,7.12 ,0.0598 ,6.63,38,420,1002,,746,69.70 ,0 ,7.34,37,22,16
06/05/2015,15.22 ,17760,2486,6.12 ,0.0502 ,6.80 ,38 ,480,1032,,850,65.81 ,0,7.35,38,24,15,,06/05/2015,17.69 ,20640,2486,7.12 ,0.0584 ,6.8,38,480,1032,,790,68.22 ,0 ,7.61,36,24,15
07/05/2015,12.41 ,17760,2027,6.12 ,0.0496 ,6.72 ,37 ,262,900,,630,68.92 ,6,7.67,37,24,13,,07/05/2015,12.75 ,18240,2027,6.29 ,0.0509 ,6.72,37,262,900,,587,71.04 ,0 ,7.51,37,24,13
08/05/2015,13.91 ,17520,2302,6.04 ,0.0471 ,6.63 ,38 ,460,894,,826,64.12 ,30,7.43,38,32,19,,08/05/2015,16.00 ,20160,2302,6.95 ,0.0542 ,6.63,38,460,894,,678,70.55 ,24 ,7.4,38,32,19
09/05/2015,7.34 ,11280,1887,3.89 ,0.0373 ,6.43 ,34 ,744,924,,610,67.67 ,0,7.35,36,32,19,,09/05/2015,7.03 ,10800,1887,3.72 ,0.0358 ,6.43,34,744,924,,686,63.65 ,0 ,7.33,36,32,19
10/05/2015,12.83 ,17760,2095,6.12 ,0.0539 ,6.79 ,36 ,588,924,,750,64.20 ,0,7.52,33,32,19,,10/05/2015,15.08 ,20880,2095,7.20 ,0.0634 ,6.79,36,588,924,,738,64.77 ,0 ,7.39,34,32,19
11/05/2015,14.38 ,17760,2348,6.12 ,0.0631 ,6.84 ,35 ,396,918,,654,72.15 ,12,7.44,37,32,19,,11/05/2015,16.71 ,20640,2348,7.12 ,0.0733 ,6.84,35,396,918,,722,69.25 ,12 ,7.36,37,32,19
12/05/2015,14.23 ,17760,2324,6.12 ,0.0612 ,6.82 ,37 ,364,870,,797,65.71 ,6,7.66,35,32,19,,12/05/2015,16.54 ,20640,2324,7.12 ,0.0712 ,6.82,37,364,870,,785,66.22 ,0 ,7.45,34,32,19
13/05/2015,14.43 ,17760,2356,6.12 ,0.0563 ,6.60 ,38 ,414,828,,781,66.85 ,0,7.37,37,32,19,,13/05/2015,16.77 ,20640,2356,7.12 ,0.0655 ,6.6,38,414,828,,642,72.75 ,0 ,7.27,37,32,19
14/05/2015,16.36 ,17760,2671,6.12 ,0.0465 ,6.47 ,38 ,286,1062,,654,75.51 ,0,7.37,38,26,14,,14/05/2015,19.01 ,20640,2671,7.12 ,0.0541 ,6.47,38,286,1062,,726,72.82 ,0 ,7.47,38,26,14
15/05/2015,16.25 ,17280,2727,5.96 ,0.0489 ,6.62 ,38 ,198,1122,,885,67.55 ,18,7.17,39,25,10,,15/05/2015,19.18 ,20400,2727,7.03 ,0.0577 ,6.62,38,198,1122,,773,71.65 ,0 ,7.56,39,25,10
16/05/2015,16.16 ,17040,2751,5.88 ,0.0458 ,6.49 ,39 ,242,1146,,837,69.57 ,0,7.23,38,31,17,,16/05/2015,19.35 ,20400,2751,7.03 ,0.0549 ,6.49,39,242,1146,,789,71.32 ,0 ,7.62,37,31,17
17/05/2015,13.47 ,15600,2504,5.38 ,0.0559 ,6.46 ,38 ,90,1062,,1148,54.15 ,12,7.1,37,31,18,,17/05/2015,16.58 ,19200,2504,6.62 ,0.0689 ,6.46,38,90,1062,,857,65.77 ,30 ,7.36,37,31,18
18/05/2015,13.68 ,17760,2233,6.12 ,0.0588 ,6.89 ,38 ,188,900,,957,57.14 ,6,7.19,37,31,14,,18/05/2015,15.89 ,20640,2233,7.12 ,0.0683 ,6.89,38,188,900,,789,64.67 ,0 ,7.34,37,31,14
19/05/2015,13.91 ,17280,2335,5.96 ,0.0459 ,6.49 ,37 ,424,972,,806,65.48 ,12,7.16,37,27,12,,19/05/2015,16.81 ,20880,2335,7.20 ,0.0554 ,6.49,37,424,972,,766,67.19 ,0 ,7.35,37,27,12
20/05/2015,13.58 ,17760,2218,6.12 ,0.0453 ,6.42 ,38 ,338,852,,718,67.63 ,0,7.2,37,28,14,,20/05/2015,16.15 ,21120,2218,7.28 ,0.0539 ,6.42,38,338,852,,758,65.83 ,0 ,7.26,37,28,14
21/05/2015,13.99 ,18000,2254,6.21 ,0.0708 ,7.06 ,36 ,306,852,,649,71.21 ,0,7.18,36,28,18,,21/05/2015,16.23 ,20880,2254,7.20 ,0.0821 ,7.06,36,306,852,,762,66.19 ,0 ,7.4,36,28,18
22/05/2015,14.89 ,17760,2431,6.12 ,0.0661 ,6.97 ,37 ,328,876,,879,63.84 ,6,7.2,37,31,18,,22/05/2015,17.70 ,21120,2431,7.28 ,0.0787 ,6.97,37,328,876,,835,65.65 ,0 ,7.41,37,31,18
23/05/2015,14.20 ,17520,2351,6.04 ,0.0649 ,6.93 ,37 ,190,912,,806,65.72 ,0,7.21,37,30,15,,23/05/2015,17.12 ,21120,2351,7.28 ,0.0782 ,6.93,37,190,912,,766,67.42 ,0 ,7.4,36,30,15
24/05/2015,15.65 ,17760,2556,6.12 ,0.0637 ,6.84 ,37 ,398,912,,972,61.97 ,0,7.15,37,31,15,,24/05/2015,18.40 ,20880,2556,7.20 ,0.0749 ,6.84,37,398,912,,891,65.14 ,0 ,7.37,36,31,15
25/05/2015,15.35 ,17760,2507,6.12 ,0.0625 ,6.83 ,37 ,352,864,,912,63.62 ,12,7.08,37,31,17,,25/05/2015,18.26 ,21120,2507,7.28 ,0.0743 ,6.83,37,352,864,,845,66.29 ,0 ,7.38,37,31,17
26/05/2015,14.03 ,18000,2261,6.21 ,0.0633 ,6.98 ,38 ,422,846,,765,66.17 ,0,7.11,39,33,17,,26/05/2015,16.47 ,21120,2261,7.28 ,0.0743 ,6.98,38,422,846,,724,67.98 ,0 ,7.3,38,33,17
27/05/2015,13.54 ,18240,2153,6.29 ,0.0484 ,6.45 ,38 ,626,816,,817,62.05 ,18,7.04,38,30,15,,27/05/2015,15.86 ,21360,2153,7.37 ,0.0567 ,6.45,38,626,816,,837,61.12 ,24 ,7.32,38,30,15
28/05/2015,13.32 ,16080,2402,5.54 ,0.0366 ,6.50 ,37 ,1142,942,,676,71.86 ,6,7.16,37,27,18,,28/05/2015,15.90 ,19200,2402,6.62 ,0.0437 ,6.5,37,1142,942,,684,71.52 ,12 ,7.39,37,27,18
29/05/2015,16.19 ,18000,2608,6.21 ,0.0652 ,6.57 ,37 ,2260,1014,,905,65.30 ,24,7.24,37,26,18,,29/05/2015,16.19 ,18000,2608,6.21 ,0.0652 ,6.57,37,2260,1014,,966,62.96 ,24 ,7.44,38,26,18
30/05/2015,16.20 ,18240,2575,6.29 ,0.0428 ,6.52 ,38 ,1514,1038,,781,69.67 ,12,7.12,38,29,17,,30/05/2015,16.62 ,18720,2575,6.46 ,0.0439 ,6.52,38,1514,1038,,897,65.17 ,12 ,7.36,37,29,17
31/05/2015,16.07 ,18240,2555,6.29 ,0.0686 ,6.42 ,38 ,2282,900,,877,65.68 ,24,7.28,38,31,21,,31/05/2015,16.07 ,18240,2555,6.29 ,0.0686 ,6.42,38,2282,900,,905,64.58 ,24 ,7.51,38,31,21
01/06/2015,14.03 ,16800,2422,5.79 ,0.0481 ,6.38 ,38 ,582,990,,942,61.11 ,12,7.19,38,33,21,,01/06/2015,16.04 ,19200,2422,6.62 ,0.0550 ,6.38,38,582,990,,913,62.30 ,12 ,7.45,38,33,21
02/06/2015,14.55 ,19200,2198,6.62 ,0.0358 ,6.29 ,39 ,476,900,,814,62.97 ,0,7.16,39,32,19,,02/06/2015,15.28 ,20160,2198,6.95 ,0.0375 ,6.29,39,476,900,,802,63.51 ,0 ,7.43,38,32,19
03/06/2015,15.12 ,19200,2283,6.62 ,0.0430 ,6.42 ,37 ,580,804,,884,61.28 ,6,7.18,39,31,19,,03/06/2015,14.93 ,18960,2283,6.54 ,0.0425 ,6.42,37,580,804,,814,64.35 ,0 ,7.62,38,31,19
04/06/2015,15.72 ,19440,2345,6.70 ,0.0483 ,6.49 ,39 ,612,720,,876,62.64 ,12,6.97,39,30,16,,04/06/2015,15.33 ,18960,2345,6.54 ,0.0471 ,6.49,39,612,720,,831,64.56 ,12 ,7.26,38,30,16
05/06/2015,17.34 ,19200,2619,6.62 ,0.0364 ,6.44 ,38 ,430,762,,1113,57.50 ,24,7.07,38,33,22,,05/06/2015,16.91 ,18720,2619,6.46 ,0.0355 ,6.44,38,430,762,,880,66.40 ,30 ,7.38,37,33,22
06/06/2015,18.43 ,19200,2783,6.62 ,#VALUE!,6.52 ,38 ,440,#VALUE!,,913,67.19 ,#VALUE!,7.16,38,36,23,,06/06/2015,18.43 ,19200,2783,6.62 ,#VALUE!,6.52,38,440,#VALUE!,,804,71.11 ,#VALUE!,7.37,38,36,23
07/06/2015,16.53 ,19200,2496,6.62 ,0.0159 ,6.29 ,37 ,502,882,,883,64.62 ,12,7.18,37,34,21,,07/06/2015,16.53 ,19200,2496,6.62 ,0.0159 ,6.29,37,502,882,,802,67.87 ,0 ,7.28,37,34,21
08/06/2015,17.62 ,19200,2661,6.62 ,0.0364 ,6.39 ,37 ,418,960,,948,64.37 ,36,7.25,39,30,19,,08/06/2015,17.62 ,19200,2661,6.62 ,0.0364 ,6.39,37,418,960,,843,68.32 ,0 ,7.43,39,30,19
09/06/2015,12.09 ,19200,1826,6.62 ,0.0463 ,6.46 ,37 ,472,780,,645,64.68 ,6,7.21,37,36,21,,09/06/2015,12.09 ,19200,1826,6.62 ,0.0463 ,6.46,37,472,780,,689,62.27 ,18 ,7.37,37,36,21
10/06/2015,17.27 ,19200,2609,6.62 ,0.0543 ,6.53 ,37 ,660,918,,996,61.82 ,36,7.23,38,35,20,,10/06/2015,17.27 ,19200,2609,6.62 ,0.0543 ,6.53,37,660,918,,887,66.00 ,18 ,7.36,38,35,20
11/06/2015,15.11 ,19200,2282,6.62 ,0.0437 ,6.41 ,38 ,788,756,,883,61.31 ,18,7.12,38,31,19,,11/06/2015,15.11 ,19200,2282,6.62 ,0.0437 ,6.41,38,788,756,,758,66.78 ,6 ,7.55,37,31,19
12/06/2015,15.07 ,16800,2601,5.79 ,0.0388 ,6.39 ,37 ,756,774,,835,67.90 ,24,7.24,37,33,20,,12/06/2015,15.07 ,16800,2601,5.79 ,0.0388 ,6.39,37,756,774,,786,69.78 ,12 ,7.45,37,33,20
13/06/2015,16.39 ,19200,2475,6.62 ,0.0569 ,6.52 ,37 ,662,840,,851,65.62 ,18,7.19,37,31,18,,13/06/2015,15.77 ,18480,2475,6.37 ,0.0548 ,6.52,37,662,840,,794,67.92 ,6 ,7.4,37,31,18
14/06/2015,17.38 ,18720,2693,6.46 ,0.0620 ,6.69 ,38 ,694,858,,976,63.76 ,30,7.18,39,31,18,,14/06/2015,17.16 ,18480,2693,6.37 ,0.0612 ,6.69,38,694,858,,935,65.28 ,12 ,7.4,38,31,18
15/06/2015,15.83 ,17280,2656,5.96 ,0.0489 ,6.43 ,38 ,498,888,,863,67.51 ,12,7.22,38,33,20,,15/06/2015,16.49 ,18000,2656,6.21 ,0.0509 ,6.43,38,498,888,,826,68.90 ,18 ,7.43,37,33,20
16/06/2015,16.19 ,18000,2609,6.21 ,0.0434 ,6.52 ,38 ,756,816,,911,65.08 ,18,7.07,38,34,21,,16/06/2015,16.19 ,18000,2609,6.21 ,0.0434 ,6.52,38,756,816,,883,66.16 ,6 ,7.55,38,34,21
17/06/2015,15.50 ,17760,2531,6.12 ,0.0398 ,6.42 ,38 ,554,954,,855,66.22 ,90,7.02,37,33,21,,17/06/2015,15.08 ,17280,2531,5.96 ,0.0387 ,6.42,38,554,954,,887,64.95 ,102 ,7.25,36,33,21
18/06/2015,15.08 ,17280,2531,5.96 ,0.0495 ,6.74 ,37 ,452,1057.8,,919,63.69 ,96,7.11,38,31,16,,18/06/2015,15.29 ,17520,2531,6.04 ,0.0501 ,6.74,37,452,1057.8,,814,67.84 ,90 ,7.35,37,31,16
19/06/2015,13.16 ,16560,2305,5.71 ,0.0434 ,7.13 ,38 ,478,1056,,830,63.99 ,96,7.22,37,29,18,,19/06/2015,13.16 ,16560,2305,5.71 ,0.0434 ,7.13,38,478,1056,,806,65.03 ,84 ,7.38,37,29,18
20/06/2015,13.43 ,19200,2028,6.62 ,0.0794 ,7.08 ,37 ,516,942,,826,59.27 ,102,7.25,37,30,18,,20/06/2015,13.26 ,18960,2028,6.54 ,0.0785 ,7.08,37,516,942,,746,63.21 ,78 ,7.41,37,30,18
21/06/2015,13.54 ,18000,2181,6.21 ,0.0720 ,7.09 ,37 ,564,1020,,834,61.76 ,96,7.22,38,32,19,,21/06/2015,13.54 ,18000,2181,6.21 ,0.0720 ,7.09,37,564,1020,,786,63.96 ,90 ,7.38,38,32,19
22/06/2015,13.98 ,17520,2314,6.04 ,0.0604 ,7.21 ,36 ,712,1146,,1006,56.53 ,108,7.33,36,32,21,,22/06/2015,14.36 ,18000,2314,6.21 ,0.0621 ,7.21,36,712,1146,,960,58.51 ,96 ,7.47,36,32,21
23/06/2015,12.76 ,18000,2055,6.21 ,0.0732 ,7.28 ,38 ,526,972,,875,57.42 ,120,7.38,36,31,21,,23/06/2015,12.93 ,18240,2055,6.29 ,0.0742 ,7.28,38,526,972,,841,59.08 ,84 ,7.69,36,31,21
24/06/2015,13.77 ,17040,2344,5.88 ,0.0729 ,7.16 ,39 ,744,1032,,900,61.60 ,102,7.32,39,28,20,,24/06/2015,13.58 ,16800,2344,5.79 ,0.0718 ,7.16,39,744,1032,,943,59.77 ,96 ,7.5,38,28,20
25/06/2015,13.62 ,17040,2318,5.88 ,0.0576 ,7.03 ,37 ,570,1086,,1045,54.92 ,90,7.3,38,24,18,,25/06/2015,13.81 ,17280,2318,5.96 ,0.0584 ,7.03,37,570,1086,,620,73.25 ,96 ,7.47,38,24,18
26/06/2015,14.39 ,17760,2349,6.12 ,0.0490 ,6.70 ,39 ,286,1062,,819,65.13 ,114,7.09,39,30,19,,26/06/2015,14.39 ,17760,2349,6.12 ,0.0490 ,6.7,39,286,1062,,790,66.37 ,102 ,7.25,39,30,19
27/06/2015,12.30 ,16800,2123,5.79 ,0.0614 ,6.52 ,39 ,618,756,,735,65.38 ,66,6.96,39,31,20,,27/06/2015,14.23 ,19440,2123,6.70 ,0.0711 ,6.52,39,618,756,,722,65.99 ,66 ,7.2,39,31,20
28/06/2015,12.63 ,17040,2149,5.88 ,0.0635 ,7.08 ,38 ,438,804,,808,62.40 ,30,7.01,39,31,21,,28/06/2015,14.41 ,19440,2149,6.70 ,0.0724 ,7.08,38,438,804,,804,62.59 ,48 ,7.21,39,31,21
29/06/2015,13.11 ,17520,2170,6.04 ,0.0532 ,6.74 ,38 ,262,816,,668,69.22 ,78,6.97,39,27,18,,29/06/2015,14.37 ,19200,2170,6.62 ,0.0583 ,6.74,38,262,816,,723,66.68 ,66 ,7.26,38,27,18
30/06/2015,11.98 ,16320,2128,5.63 ,0.0473 ,6.85 ,38 ,378,918,,779,63.39 ,78,7.21,38,27,19,,30/06/2015,13.38 ,18240,2128,6.29 ,0.0528 ,6.85,38,378,918,,787,63.02 ,78 ,7.65,36,27,19
01/07/2015,14.54 ,16800,2510,5.79 ,0.0481 ,6.88 ,39 ,436,1050,,847,66.25 ,54,7.13,39,33,18,,01/07/2015,15.58 ,18000,2510,6.21 ,0.0515 ,6.88,39,436,1050,,851,66.10 ,72 ,7.45,39,33,18
02/07/2015,12.81 ,16080,2310,5.54 ,0.0499 ,6.95 ,38 ,296,1056,,757,67.23 ,84,7.27,39,33,18,,02/07/2015,14.34 ,18000,2310,6.21 ,0.0559 ,6.95,38,296,1056,,757,67.23 ,60 ,7.42,39,33,18
03/07/2015,12.86 ,15600,2391,5.38 ,0.0511 ,6.99 ,38 ,410,972,,881,63.15 ,84,7.23,39,32,16,,03/07/2015,14.84 ,18000,2391,6.21 ,0.0590 ,6.99,38,410,972,,851,64.41 ,66 ,7.38,38,32,16
04/07/2015,13.10 ,16080,2362,5.54 ,0.0493 ,7.08 ,39 ,298,1056,,762,67.74 ,78,7.32,39,31,18,,04/07/2015,14.66 ,18000,2362,6.21 ,0.0552 ,7.08,39,298,1056,,766,67.57 ,60 ,7.56,39,31,18
05/07/2015,14.32 ,16800,2472,5.79 ,0.0568 ,6.91 ,39 ,404,996,,894,63.83 ,84,7.33,39,32,20,,05/07/2015,15.34 ,18000,2472,6.21 ,0.0608 ,6.91,39,404,996,,821,66.79 ,84 ,7.59,39,32,20
06/07/2015,11.63 ,15600,2162,5.38 ,0.0565 ,7.19 ,39 ,304,906,,757,64.99 ,60,7.21,39,30,20,,06/07/2015,13.24 ,17760,2162,6.12 ,0.0643 ,7.19,39,304,906,,723,66.56 ,84 ,7.45,39,30,20
07/07/2015,12.46 ,15840,2281,5.46 ,0.0579 ,7.17 ,39 ,498,876,,851,62.69 ,90,7.25,39,31,18,,07/07/2015,13.97 ,17760,2281,6.12 ,0.0649 ,7.17,39,498,876,,813,64.36 ,96 ,7.46,38,31,18
08/07/2015,11.48 ,14400,2312,4.97 ,0.0581 ,7.21 ,39 ,335,786,,809,65.01 ,66,7.28,39,31,18,,08/07/2015,13.39 ,16800,2312,5.79 ,0.0678 ,7.21,39,335,786,,800,65.40 ,84 ,7.68,39,31,18
09/07/2015,11.35 ,15120,2177,5.21 ,0.0480 ,7.04 ,38 ,400,834,,830,61.87 ,72,7.17,38,32,22,,09/07/2015,12.61 ,16800,2177,5.79 ,0.0533 ,7.04,38,400,834,,779,64.22 ,96 ,7.34,38,32,22
10/07/2015,13.03 ,16080,2350,5.54 ,0.0432 ,6.54 ,39 ,490,768,,876,62.72 ,78,6.98,39,30,22,,10/07/2015,13.61 ,16800,2350,5.79 ,0.0452 ,6.54,39,490,768,,838,64.34 ,84 ,7.19,39,30,22
11/07/2015,12.84 ,16080,2316,5.54 ,0.0410 ,6.59 ,39 ,444,816,,863,62.74 ,84,7.23,39,32,23,,11/07/2015,14.38 ,18000,2316,6.21 ,0.0459 ,6.59,39,444,816,,804,65.28 ,90 ,7.25,39,32,23
12/07/2015,11.68 ,15840,2139,5.46 ,0.0404 ,6.93 ,38 ,810,780,,712,66.71 ,72,7.08,39,29,23,,12/07/2015,13.28 ,18000,2139,6.21 ,0.0459 ,6.93,38,810,780,,716,66.53 ,66 ,7.28,39,29,23
13/07/2015,9.95 ,16080,1794,5.54 ,0.0549 ,7.14 ,39 ,668,666,,682,61.98 ,54,7.18,38,37,23,,13/07/2015,11.14 ,18000,1794,6.21 ,0.0614 ,7.14,39,668,666,,678,62.21 ,78 ,7.42,38,37,23
14/07/2015,12.14 ,16080,2190,5.54 ,0.0493 ,7.10 ,39 ,298,876,,716,67.31 ,72,7.09,38,37,22,,14/07/2015,13.41 ,17760,2190,6.12 ,0.0545 ,7.1,39,298,876,,737,66.35 ,72 ,7.28,38,37,22
15/07/2015,13.00 ,15600,2417,5.38 ,0.0570 ,6.90 ,39 ,488,810,,787,67.44 ,30,7.16,39,35,22,,15/07/2015,15.00 ,18000,2417,6.21 ,0.0658 ,6.9,39,488,810,,838,65.33 ,78 ,7.33,39,35,22
16/07/2015,8.85 ,12000,2139,4.14 ,0.0459 ,6.39 ,38 ,608,804,,758,64.56 ,54,7.26,39,28,22,,16/07/2015,8.85 ,12000,2139,4.14 ,0.0459 ,6.39,38,608,804,,716,66.53 ,72 ,7.41,39,28,22
17/07/2015,11.46 ,15120,2198,5.21 ,0.0344 ,6.60 ,38 ,1611,846,,724,67.06 ,84,7.09,39,31,21,,17/07/2015,12.73 ,16800,2198,5.79 ,0.0382 ,6.6,38,1611,846,,707,67.83 ,90 ,7.28,39,31,21
18/07/2015,10.75 ,14400,2164,4.97 ,0.0482 ,7.03 ,38 ,402,852,,716,66.91 ,102,7.15,39,32,20,,18/07/2015,12.18 ,16320,2164,5.63 ,0.0546 ,7.03,38,402,852,,716,66.91 ,114 ,7.3,39,32,20
19/07/2015,11.08 ,14400,2232,4.97 ,0.0437 ,7.04 ,38 ,362,936,,674,69.80 ,102,7.25,39,29,22,,19/07/2015,12.56 ,16320,2232,5.63 ,0.0495 ,7.04,38,362,936,,678,69.62 ,114 ,7.48,39,29,22
20/07/2015,9.38 ,11040,2463,3.81 ,0.0175 ,6.39 ,39 ,424,1002,,733,70.24 ,108,7.17,39,28,22,,20/07/2015,11.01 ,12960,2463,4.47 ,0.0206 ,6.39,39,424,1002,,737,70.08 ,120 ,7.35,39,28,22
21/07/2015,8.90 ,12720,2030,4.39 ,0.0351 ,6.55 ,39 ,304,894,,627,69.11 ,78,7.07,38,32,22,,21/07/2015,10.42 ,14880,2030,5.13 ,0.0410 ,6.55,39,304,894,,665,67.24 ,96 ,7.3,39,32,22
22/07/2015,13.27 ,15360,2506,5.30 ,0.0318 ,6.62 ,39 ,303,1098,,779,68.91 ,78,7.41,39,33,24,,22/07/2015,15.14 ,17520,2506,6.04 ,0.0362 ,6.62,39,303,1098,,779,68.91 ,78 ,7.35,39,33,24
23/07/2015,11.81 ,14400,2379,4.97 ,0.0248 ,6.49 ,39 ,302,978,,653,72.55 ,60,7.04,39,31,23,,23/07/2015,13.78 ,16800,2379,5.79 ,0.0290 ,6.49,39,302,978,,665,72.05 ,78 ,7.45,38,31,23
24/07/2015,12.90 ,15840,2362,5.46 ,0.0382 ,6.61 ,39 ,303,840,,762,67.74 ,84,7.07,39.5,31,22,,24/07/2015,14.47 ,17760,2362,6.12 ,0.0429 ,6.61,39,303,840,,729,69.14 ,78 ,7.45,40,31,22
25/07/2015,12.53 ,14880,2442,5.13 ,0.0395 ,6.55 ,39 ,324,744,,758,68.96 ,84,7.06,38.5,33,24,,25/07/2015,14.15 ,16800,2442,5.79 ,0.0446 ,6.55,39,324,744,,758,68.96 ,72 ,7.49,38.5,33,24
26/07/2015,13.98 ,15120,2682,5.21 ,0.0328 ,6.55 ,39 ,195,750,,707,73.64 ,78,7.04,41,34,24,,26/07/2015,15.54 ,16800,2682,5.79 ,0.0365 ,6.55,39,195,750,,715,73.34 ,84 ,7.25,41,34,24
27/07/2015,13.96 ,15120,2678,5.21 ,0.0287 ,6.57 ,39 ,182,804,,772,71.17 ,66,6.88,40,35,25,,27/07/2015,15.96 ,17280,2678,5.96 ,0.0328 ,6.57,39,182,804,,813,69.64 ,42 ,7.07,40,35,25
28/07/2015,12.67 ,15120,2430,5.21 ,0.0282 ,6.48 ,39 ,199,744,,699,71.23 ,72,7.06,39.1,34,26,,28/07/2015,14.48 ,17280,2430,5.96 ,0.0322 ,6.48,39,199,744,,784,67.74 ,66 ,7.12,39,34,26
29/07/2015,12.97 ,14880,2527,5.13 ,0.0267 ,6.58 ,39 ,128,834,,760,69.92 ,72,6.93,39.5,35,27,,29/07/2015,15.06 ,17280,2527,5.96 ,0.0310 ,6.58,39,128,834,,772,69.45 ,66 ,7.14,39.5,35,27
30/07/2015,15.16 ,16800,2617,5.79 ,0.0324 ,6.48 ,39 ,284,834,,752,71.26 ,66,6.99,38.9,35,25,,30/07/2015,16.46 ,18240,2617,6.29 ,0.0352 ,6.48,39,284,834,,760,70.96 ,66 ,7.1,38.9,35,25
31/07/2015,13.38 ,15360,2527,5.30 ,0.0265 ,6.42 ,39 ,305,696,,779,69.17 ,48,6.92,38.5,32,24,,31/07/2015,14.85 ,17040,2527,5.88 ,0.0294 ,6.42,39,305,696,,758,70.00 ,84 ,7.3,38.5,32,24
01/08/2015,13.53 ,16080,2441,5.54 ,0.0261 ,6.33 ,39 ,847,900,,857,64.89 ,72,6.91,39,32,25,,01/08/2015,14.75 ,17520,2441,6.04 ,0.0284 ,6.33,39,847,900,,886,63.70 ,84 ,7.03,38.2,32,25
02/08/2015,14.60 ,15600,2714,5.38 ,0.0366 ,6.40 ,38 ,212,834,,821,69.75 ,54,7.16,38,34,26,,02/08/2015,15.72 ,16800,2714,5.79 ,0.0394 ,6.4,38,212,834,,874,67.80 ,102 ,7.28,37.5,34,26
03/08/2015,16.22 ,16560,2840,5.71 ,0.0297 ,6.37 ,39 ,149,900,,829,70.81 ,72,7.13,40,33,26,,03/08/2015,18.10 ,18480,2840,6.37 ,0.0331 ,6.37,39,149,900,,849,70.11 ,72 ,7.13,40,33,26
04/08/2015,11.96 ,15840,2190,5.46 ,0.0317 ,6.36 ,39 ,229,732,,813,62.88 ,54,7.03,38,27,23,,04/08/2015,13.41 ,17760,2190,6.12 ,0.0355 ,6.36,39,229,732,,813,62.88 ,66 ,7.23,38,27,23
05/08/2015,12.89 ,15360,2434,5.30 ,0.0360 ,6.62 ,39 ,239,852,,776,68.12 ,78,6.97,39,32,24,,05/08/2015,14.50 ,17280,2434,5.96 ,0.0405 ,6.62,39,239,852,,817,66.43 ,60 ,7.15,39,32,24
06/08/2015,14.01 ,17760,2287,6.12 ,0.0441 ,6.67 ,38 ,261,780,,837,63.40 ,90,7.02,38,30,23,,06/08/2015,15.90 ,20160,2287,6.95 ,0.0501 ,6.67,37.8,261,780,,817,64.28 ,120 ,7.2,38.2,30,23
